task,state,attack,epsilon,epsilon_label,sigma,auc,tpr_at_1pct,auc_sparse,tpr_at_1pct_sparse,n_records,single_feature,n_features_joint
ACSIncome,CA,joint,5.0,5.0,0.9689610525210778,0.87868275,0.20725,0.8873529235021933,0.18604651162790697,4000,AGEP,10
ACSIncome,CA,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,CA,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,CO,single,0.1,0.1,48.44805262605389,0.5192143124999999,0.008,0.60546875,0.1875,4000,AGEP,10
ACSIncome,CO,joint,0.1,0.1,48.44805262605389,0.514359875,0.00975,0.534595538833647,0.009836065573770493,4000,AGEP,10
ACSIncome,CO,single,0.5,0.5,9.689610525210778,0.525394875,0.01175,0.445,0.05,4000,AGEP,10
ACSIncome,CO,joint,0.5,0.5,9.689610525210778,0.557619875,0.02225,0.556805042800925,0.027070063694267517,4000,AGEP,10
ACSIncome,CO,single,1.0,1.0,4.844805262605389,0.559811875,0.018,0.5066666666666666,0.0,4000,AGEP,10
ACSIncome,CO,joint,1.0,1.0,4.844805262605389,0.6086671875,0.02475,0.5857036869372768,0.01950354609929078,4000,AGEP,10
ACSIncome,CO,single,2.0,2.0,2.4224026313026945,0.6147729375000001,0.03225,0.6033333333333333,0.1,4000,AGEP,10
ACSIncome,CO,joint,2.0,2.0,2.4224026313026945,0.6907069375,0.031,0.6890075832862337,0.03436988543371522,4000,AGEP,10
ACSIncome,CO,single,5.0,5.0,0.9689610525210778,0.7582625000000001,0.096,0.6384297520661157,0.2727272727272727,4000,AGEP,10
ACSIncome,CO,joint,5.0,5.0,0.9689610525210778,0.8960241250000001,0.239,0.9262084796111262,0.24378881987577639,4000,AGEP,10
ACSIncome,CO,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,CO,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,CT,single,0.1,0.1,48.44805262605389,0.505791875,0.00975,0.51953125,0.0,4000,AGEP,10
ACSIncome,CT,joint,0.1,0.1,48.44805262605389,0.5086713125,0.01,0.523185524767739,0.007961783439490446,4000,AGEP,10
ACSIncome,CT,single,0.5,0.5,9.689610525210778,0.538381875,0.0145,0.4671201814058957,0.047619047619047616,4000,AGEP,10
ACSIncome,CT,joint,0.5,0.5,9.689610525210778,0.5436195625,0.01525,0.5335034179687499,0.015625,4000,AGEP,10
ACSIncome,CT,single,1.0,1.0,4.844805262605389,0.5598844375,0.01675,0.5154320987654321,0.0,4000,AGEP,10
